feature,importance
num__CampaignSuccesses,0.10317355
num__AcceptedCmp5,0.08724654
num__AcceptedCmp3,0.046006884
num__Recency,0.03870704
num__CustomerTenureDays,0.038143136
num__Kidhome,0.032812852
cat__Education_PhD,0.032704573
num__Teenhome,0.03143804
num__AcceptedCmp4,0.031359565
num__NumCatalogPurchases,0.028846037
num__NumStorePurchases,0.028538045
num__AcceptedCmp2,0.028151872
num__TotalSpending,0.027629502
num__MntMeatProducts,0.026162013
num__NumWebVisitsMonth,0.025658837
cat__Marital_Status_Single,0.023864398
num__TotalChildren,0.023304367
num__Income,0.023045462
cat__Marital_Status_Together,0.021657247
num__NumDealsPurchases,0.020394867
cat__Marital_Status_Married,0.019798964
num__MntGoldProds,0.018912885
cat__Marital_Status_Widow,0.017866693
num__MntWines,0.017295096
num__MntFishProducts,0.017216627
num__MntFruits,0.016635776
num__TotalPurchases,0.01604696
num__NumWebPurchases,0.01592913
num__AcceptedCmp1,0.015759476
num__Age,0.015487197
num__Year_Birth,0.015123334
cat__Marital_Status_Divorced,0.014870838
num__MntSweetProducts,0.014753783
cat__Marital_Status_Alone,0.014669751
cat__Education_Basic,0.014355225
cat__Education_2n Cycle,0.013209437
cat__Education_Master,0.012012117
cat__Education_Graduation,0.00911335
cat__Marital_Status_YOLO,0.0020985338
cat__Marital_Status_Absurd,0.0
num__Complain,0.0
num__Z_CostContact,0.0
num__Z_Revenue,0.0
